ID,Gender,Age,EmployedStatus,YearsOfEmployed,OccupationType,IncomeType,TotalIncome,EducationLevel,HousingType,OwnCar,OwnProperty,FamilyStatus,NumOfChildren,NumOfFamilyMember,AccountActivateLength,WorkPhone,Phone,Email,Risk_TargetVariable
5008951,1,28.257938219128388,0,7.688042875623729,Other,Working,225000.0,Secondary / secondary special,House / apartment,0,1,Married,1,3,45,0,0,0,0
5008955,0,48.69367611929061,0,4.687296795964325,Laborers,Working,135000.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,4,0,0,0,0
5008966,1,43.88043560100481,0,2.4339993292127833,Other,Working,157500.0,Secondary / secondary special,House / apartment,0,1,Married,0,2,15,0,1,0,1
5008974,0,61.1073464889765,1,0.0,Other,Pensioner,112500.0,Secondary / secondary special,House / apartment,0,1,Married,0,2,49,0,0,0,0
5008981,1,57.151070863878104,0,6.518956583639636,Drivers,State servant,112500.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,10,0,1,0,0
5008991,0,45.399973989883435,0,3.269060966344278,Cleaning staff,Working,270000.0,Secondary / secondary special,House / apartment,1,1,Separated,0,1,30,1,1,0,0
5008998,0,29.09847567027386,0,2.266987001786484,Managers,Working,270000.0,Higher education,House / apartment,1,1,Married,0,2,4,0,0,1,0
5009000,1,27.179202858374914,0,2.266987001786484,Drivers,Working,157500.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,22,0,0,0,0
5009001,1,51.81762801426449,0,17.183104375859873,Laborers,Working,166500.0,Secondary / secondary special,House / apartment,0,1,Married,0,2,40,1,1,0,0
5009016,0,42.28423581593051,0,8.520366605748235,Other,State servant,216000.0,Higher education,House / apartment,0,1,Married,2,4,24,0,0,1,0
5009027,0,54.37757106579875,0,29.687125676776386,Laborers,Commercial associate,270000.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,21,0,0,1,0
5009028,0,39.56275625098394,0,7.603167758407086,Laborers,Commercial associate,225000.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,17,0,0,0,1
5009031,0,28.89587055175671,0,3.269060966344278,Accountants,Working,315000.0,Secondary / secondary special,House / apartment,0,1,Single / not married,0,1,13,0,0,0,0
5009033,0,51.149578704559296,1,0.0,Other,Pensioner,255150.0,Incomplete higher,Rented apartment,0,0,Civil marriage,0,2,16,0,0,0,0
5009039,0,39.22325578211736,0,1.5195383888786218,Core staff,Working,157500.0,Secondary / secondary special,House / apartment,0,1,Single / not married,2,3,8,0,0,0,0
5009042,0,48.299417510284265,0,2.4339993292127833,Core staff,Working,148500.0,Higher education,House / apartment,0,1,Married,0,2,20,0,0,0,0
5009050,0,30.108763355852616,0,6.2670691389966935,Core staff,Working,202500.0,Higher education,House / apartment,0,1,Married,2,4,34,0,0,1,0
5009056,1,24.260593988925166,0,2.4339993292127833,Drivers,Working,202500.0,Secondary / secondary special,House / apartment,0,1,Single / not married,0,1,24,1,0,0,0
5009058,0,20.504185575336933,0,2.1821118845698404,Private service staff,Commercial associate,112500.0,Secondary / secondary special,House / apartment,1,1,Single / not married,0,1,0,0,1,1,0
5009060,0,61.140201373060364,1,0.0,Other,Pensioner,94500.0,Higher education,House / apartment,0,1,Married,0,2,3,0,1,0,0
5009062,1,28.611128223029905,0,5.68663285351513,Sales staff,Working,315000.0,Secondary / secondary special,House / apartment,1,1,Civil marriage,0,2,45,0,0,0,0
5009071,0,28.101877519730042,0,8.687378933174534,High skill tech staff,Commercial associate,270000.0,Incomplete higher,Municipal apartment,1,1,Civil marriage,0,2,20,0,1,1,0
5009074,0,48.532139605878285,0,1.9384381609478634,Core staff,State servant,450000.0,Higher education,House / apartment,1,1,Married,1,3,22,0,1,1,0
5009078,1,38.6647227526917,0,3.520948410987221,Drivers,Working,180000.0,Secondary / secondary special,With parents,0,1,Married,1,3,30,0,0,0,0
5009079,0,27.554296118332342,0,8.687378933174534,Laborers,Working,112500.0,Higher education,House / apartment,0,1,Civil marriage,0,2,43,0,0,1,0
5009083,1,56.21196876048105,0,15.688207150044148,Drivers,Working,90000.0,Secondary / secondary special,House / apartment,0,1,Married,0,2,51,0,0,0,0
5009088,1,40.32937021294072,0,8.18360404388865,Laborers,Commercial associate,202500.0,Higher education,House / apartment,1,0,Married,2,4,46,0,0,0,0
5009090,1,34.57428968425087,0,11.020075703128743,Drivers,Working,247500.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,13,0,0,0,0
5009092,1,33.394251764238824,0,3.269060966344278,Managers,Working,765000.0,Higher education,House / apartment,1,1,Married,1,3,3,1,0,0,1
5009096,0,37.451829948595794,0,12.022149667686536,Accountants,Commercial associate,270000.0,Secondary / secondary special,House / apartment,0,1,Married,1,3,24,0,0,1,0
5009099,0,36.33476388974449,0,1.5195383888786218,Managers,Working,315000.0,Higher education,House / apartment,0,1,Separated,0,1,56,0,0,0,0
5009103,1,35.20674620286522,0,11.104950820345387,Drivers,Working,157500.0,Secondary / secondary special,With parents,1,1,Married,2,4,38,0,1,0,0
5009108,1,41.94747325407092,0,7.52103054819743,Security staff,Commercial associate,360000.0,Secondary / secondary special,House / apartment,0,1,Married,0,2,7,0,0,0,0
5009110,0,24.208573755792383,0,0.8542269861804144,High skill tech staff,Commercial associate,112500.0,Higher education,House / apartment,0,1,Married,0,2,3,0,0,1,1
5009116,0,43.08644256897814,0,1.1827758270190354,Other,Commercial associate,157500.0,Higher education,With parents,0,0,Separated,0,1,35,0,0,0,0
5009133,1,59.33865856246192,1,0.0,Other,Pensioner,382500.0,Secondary / secondary special,House / apartment,0,1,Widow,0,1,16,0,0,0,0
5009141,0,26.439967966488016,0,4.271134930902072,Managers,Working,135000.0,Secondary / secondary special,House / apartment,0,0,Civil marriage,0,2,33,1,1,0,0
5009143,1,50.073581250812815,1,0.0,Other,Pensioner,225000.0,Secondary / secondary special,House / apartment,1,0,Civil marriage,0,2,11,0,0,0,1
5009145,1,43.327378385593136,0,10.185014065997247,Managers,Working,315000.0,Higher education,House / apartment,1,0,Married,0,2,36,1,1,0,0
5009151,0,53.59452966180004,0,7.942668227273661,Sales staff,Working,180000.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,29,0,0,0,0
5009163,0,35.360068995256576,0,8.690116840181522,Sales staff,Working,157500.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,12,0,1,0,0
5009170,0,62.63509859887609,1,0.0,Other,Pensioner,144000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,30,0,1,1,0
5009177,1,50.172145903064404,0,3.4388112007775655,Laborers,Working,229500.0,Incomplete higher,Co-op apartment,1,0,Married,0,2,49,0,0,0,1
5009186,0,48.11323983380905,0,15.857957384477436,Managers,Working,270000.0,Higher education,House / apartment,0,0,Married,0,2,3,1,1,0,1
5009195,0,57.3673655174302,0,23.7759844486882,Accountants,State servant,292500.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,21,1,1,0,0
5009213,0,33.76660711718927,0,2.3546000260101163,Accountants,Working,270000.0,Higher education,House / apartment,0,0,Married,0,2,22,1,1,0,0
5009220,0,40.15688207150044,0,2.1848497915768292,Managers,Working,225000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,27,1,0,0,0
5009238,1,29.051931251155054,0,2.6886246808627146,Drivers,Working,157500.0,Incomplete higher,With parents,1,0,Married,0,2,24,0,1,0,0
5009242,0,52.2447415073547,0,14.354846437640745,Core staff,Working,74250.0,Higher education,Municipal apartment,0,0,Separated,0,1,34,0,1,0,0
5009246,0,38.8810174062438,0,5.8563830879484176,Other,Commercial associate,135000.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,31,0,1,0,0
5009249,1,27.26134006858457,0,2.5216123534364154,Drivers,Working,135000.0,Secondary / secondary special,House / apartment,1,0,Married,1,3,26,1,0,0,0
5009255,0,43.72437490160647,0,24.605570271805718,Cleaning staff,Working,144000.0,Secondary / secondary special,House / apartment,0,0,Single / not married,0,1,6,0,0,0,0
5009260,0,39.869401835766645,0,3.5236863179942093,Core staff,State servant,202500.0,Higher education,With parents,0,0,Married,0,2,19,0,1,0,0
5009264,0,57.745196684394614,1,0.0,Other,Pensioner,40500.0,Secondary / secondary special,House / apartment,0,0,Single / not married,0,1,21,0,0,0,1
5009265,1,28.10735333374402,0,4.523022375545015,Managers,State servant,337500.0,Higher education,With parents,1,0,Married,0,2,47,1,1,0,0
5009270,1,40.46900347029713,0,6.688706818072924,Laborers,Commercial associate,180000.0,Secondary / secondary special,Municipal apartment,0,0,Married,0,2,28,0,1,0,0
5009278,0,41.45191208580601,0,13.185760145656653,Cleaning staff,Working,130500.0,Secondary / secondary special,House / apartment,0,0,Civil marriage,0,2,20,0,1,0,0
5009295,0,57.60830133404519,1,0.0,Other,Pensioner,144000.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,33,0,1,0,0
5009297,0,44.077564905507984,0,5.108934475040555,Laborers,Working,193500.0,Secondary / secondary special,Municipal apartment,0,0,Single / not married,0,1,22,0,1,0,1
5009302,0,60.40096648117346,1,0.0,Other,Pensioner,112500.0,Secondary / secondary special,House / apartment,0,0,Widow,0,1,25,0,0,0,0
5009306,0,55.141447120748545,1,0.0,Other,Pensioner,135000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,60,0,1,1,0
5009325,1,57.47140598369576,0,12.942086422034675,Laborers,Working,267750.0,Higher education,House / apartment,1,0,Married,0,2,16,0,1,0,0
5009335,0,44.36230723423479,0,19.439139749618406,Managers,Working,139500.0,Higher education,House / apartment,0,0,Separated,0,1,9,0,0,0,0
5009338,1,51.12767544850339,0,14.521858765067044,Security staff,Working,67500.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,12,1,1,0,0
5009340,1,29.432500325126455,0,6.688706818072924,High skill tech staff,Working,252000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,57,0,0,0,0
5009349,1,57.92042273284188,0,0.355927910908506,Drivers,Commercial associate,180000.0,Lower secondary,House / apartment,0,0,Married,0,2,30,0,1,0,0
5009355,0,53.914864781617695,0,14.4369836478504,Laborers,Commercial associate,135000.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,25,1,1,0,0
5009359,0,52.19272127422192,0,20.27146347974291,Managers,Working,900000.0,Higher education,House / apartment,1,0,Single / not married,0,1,15,0,0,0,1
5009361,1,40.70446347289814,0,1.6044135060952653,Drivers,Commercial associate,180000.0,Higher education,House / apartment,1,0,Civil marriage,0,2,47,1,0,0,0
5009368,1,63.48384977104253,1,0.0,Other,Pensioner,115290.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,40,0,1,1,0
5009378,0,30.886328945837356,0,4.774909820187958,Core staff,Working,225000.0,Higher education,House / apartment,0,0,Married,2,4,39,1,0,1,0
5009379,1,25.818463075901626,0,3.2717988733512664,Sales staff,Working,135000.0,Secondary / secondary special,House / apartment,1,0,Married,1,3,32,1,0,0,0
5009383,0,40.296515328856856,0,15.272045284981896,Managers,State servant,450000.0,Higher education,House / apartment,0,0,Married,0,2,30,0,1,0,0
5009389,1,30.2319691711671,0,8.690116840181522,Core staff,State servant,279000.0,Higher education,House / apartment,0,0,Single / not married,0,1,21,0,0,0,1
5009396,0,34.24026502939827,0,1.3552639684593113,Accountants,Working,76500.0,Higher education,House / apartment,0,0,Civil marriage,1,3,55,1,0,0,0
5009402,1,56.41183597199121,0,0.6899525657611039,Security staff,Commercial associate,202500.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,7,1,1,0,0
5009404,0,28.28531728919827,0,1.1855137340260238,Core staff,Commercial associate,67500.0,Higher education,House / apartment,0,0,Married,2,4,7,0,1,0,0
5009405,1,38.11987925830099,0,6.269807046003683,Drivers,Working,234000.0,Incomplete higher,House / apartment,0,0,Married,0,2,20,1,1,0,0
5009415,0,52.85255686290615,0,1.2703888512426675,Core staff,Working,90000.0,Secondary / secondary special,House / apartment,0,0,Single / not married,0,1,7,1,1,0,1
5009423,0,53.57810221975811,0,2.7734997980793583,Security staff,Working,81000.0,Secondary / secondary special,House / apartment,0,0,Civil marriage,0,2,9,0,0,0,0
5009424,1,22.40155513117997,0,3.6058235282038646,Cooking staff,Working,108000.0,Secondary / secondary special,Co-op apartment,0,0,Single / not married,0,1,38,1,0,0,1
5009426,1,54.6048173473788,1,0.0,Other,Pensioner,99000.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,10,0,0,0,0
5009428,1,23.70206095949951,0,3.1869237561346226,Laborers,Working,198000.0,Secondary / secondary special,With parents,0,0,Single / not married,0,1,14,1,0,0,0
5009431,1,40.61685044867451,0,3.2717988733512664,Drivers,State servant,360000.0,Higher education,Municipal apartment,1,0,Married,0,2,13,1,1,0,0
5009435,0,54.593865719350845,1,0.0,Other,Pensioner,135000.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,23,0,1,0,0
5009436,0,64.28605652409016,1,0.0,Other,Pensioner,76500.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,3,0,0,0,0
5009441,0,25.979999589313948,0,4.60515958575467,Other,State servant,90000.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,7,0,1,0,0
5009445,0,37.93370158182577,0,2.023313278164507,Other,Commercial associate,270000.0,Incomplete higher,House / apartment,1,0,Civil marriage,0,2,16,1,0,0,1
5009447,1,39.521687645879105,0,9.270553125663087,Drivers,Working,81000.0,Secondary / secondary special,With parents,1,0,Married,0,2,7,1,0,0,0
5009450,0,47.29460563871948,0,3.6906986454205084,Laborers,State servant,202500.0,Higher education,House / apartment,0,0,Married,0,2,31,0,1,0,0
5009459,0,53.94224385168758,0,27.02314215897657,Other,Working,157500.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,28,1,1,0,0
5009473,0,36.25262667953483,0,12.186424088105847,Other,Commercial associate,180000.0,Higher education,House / apartment,0,0,Married,0,2,54,0,1,0,0
5009484,0,33.210811994770594,0,2.1848497915768292,Cooking staff,Working,135000.0,Secondary / secondary special,Municipal apartment,0,0,Married,0,2,54,0,0,0,0
5009487,0,26.65626262004011,0,7.857793110057017,Other,Working,135000.0,Secondary / secondary special,House / apartment,0,0,Married,2,4,58,0,0,0,0
5009490,1,44.34314188518587,0,17.02430576945454,Laborers,Commercial associate,135000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,39,1,1,0,0
5009493,1,32.04993942380747,0,3.1869237561346226,Drivers,Commercial associate,270000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,46,1,0,1,0
5009507,0,44.08030281251497,0,13.52252270751624,Core staff,Working,202500.0,Higher education,House / apartment,0,0,Married,0,2,11,0,1,0,0
5009512,0,46.23777353402192,0,7.3567561277781195,Core staff,Working,157500.0,Incomplete higher,House / apartment,0,0,Married,0,2,22,0,0,0,0
5009518,1,34.12253502809777,0,5.941258205165061,Laborers,Working,180000.0,Incomplete higher,House / apartment,1,0,Married,2,4,3,1,0,0,0
5009523,1,32.84940826984811,0,3.107524452931956,Laborers,Working,112500.0,Secondary / secondary special,Co-op apartment,1,0,Separated,1,2,10,1,0,0,0
5009526,0,37.20815622497382,0,2.6886246808627146,Other,Commercial associate,157500.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,16,0,1,0,0
5009536,1,42.31435279300739,0,2.4367372362197717,Laborers,Working,216000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,15,1,0,0,0
5009537,0,42.51148209751056,0,4.774909820187958,Sales staff,Commercial associate,202500.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,56,1,1,0,0
5009543,0,51.50824452247479,0,26.68911750412397,Laborers,Commercial associate,198000.0,Secondary / secondary special,House / apartment,0,0,Civil marriage,0,2,59,0,0,0,0
5009562,0,55.58498805588068,1,0.0,Other,Pensioner,157500.0,Secondary / secondary special,House / apartment,0,0,Widow,0,1,33,0,1,0,0
5009565,1,41.48750487689686,0,8.605241722964879,Laborers,Working,180000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,39,1,1,0,0
5009575,0,46.74702423732178,0,2.1848497915768292,Accountants,Working,315000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,23,0,0,0,0
5009577,0,58.36122576096703,1,0.0,Other,Pensioner,112500.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,23,0,0,0,0
5009582,0,31.984229655639744,0,1.8563009507382082,Sales staff,Working,90000.0,Secondary / secondary special,House / apartment,0,0,Separated,0,1,40,0,0,0,1
5009585,0,39.354675318452806,0,2.1848497915768292,Sales staff,Working,45000.0,Secondary / secondary special,House / apartment,0,0,Separated,0,1,30,0,1,0,0
5009590,0,23.239354675318452,0,5.024059357823911,Other,Working,225000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,7,0,1,0,0
5009592,0,64.42842768845357,1,0.0,Other,Pensioner,112500.0,Secondary / secondary special,Rented apartment,0,0,Single / not married,0,1,17,0,1,0,0
5009593,0,47.59303750248123,0,2.4367372362197717,Core staff,Working,144000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,21,1,1,0,0
5009602,0,36.83853877903037,0,7.523768455204419,Sales staff,Commercial associate,315000.0,Higher education,House / apartment,1,0,Married,0,2,42,1,1,0,0
5009603,0,35.24233899395607,0,10.185014065997247,Sales staff,Working,112500.0,Secondary / secondary special,House / apartment,0,0,Married,1,3,37,1,0,0,0
5009607,0,33.61328432479791,0,2.6886246808627146,High skill tech staff,Working,144000.0,Secondary / secondary special,House / apartment,0,0,Married,2,4,23,1,1,0,0
5009617,1,47.54923099036941,1,0.0,Other,Pensioner,225000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,55,0,0,0,0
5009620,1,52.173555925173,0,0.27105279369186225,Drivers,Working,135000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,41,1,0,0,0
5009625,0,52.85529476991314,0,9.02414149503412,Laborers,Working,238500.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,41,1,0,0,0
5009631,0,27.07790029911634,0,5.604495643305475,Laborers,Working,112500.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,27,0,1,0,0
5009633,1,27.513227513227513,0,0.7748276829777476,Drivers,Working,144000.0,Incomplete higher,House / apartment,1,0,Married,1,3,23,1,0,0,0
5009636,0,58.66239553173576,1,0.0,Other,Pensioner,90000.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,13,0,1,0,0
5009642,1,23.24209258232544,0,2.5216123534364154,Other,Commercial associate,202500.0,Secondary / secondary special,With parents,0,0,Single / not married,0,1,1,1,0,0,0
5009646,1,40.217116025654185,0,10.023477552584927,Low-skill Laborers,Working,117000.0,Secondary / secondary special,House / apartment,0,0,Single / not married,0,1,15,1,0,0,0
5009651,0,51.06196568033567,0,29.941751028426317,Other,State servant,135000.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,60,0,1,0,0
5009660,1,27.83356263304517,0,4.857047030397612,Other,Working,225000.0,Higher education,House / apartment,0,0,Single / not married,0,1,40,1,0,0,0
5009664,0,52.54317337111645,1,0.0,Other,Pensioner,126000.0,Secondary / secondary special,House / apartment,0,0,Separated,0,1,27,0,0,0,1
5009671,0,43.27262024545336,0,1.1855137340260238,Core staff,Commercial associate,135000.0,Secondary / secondary special,House / apartment,0,0,Civil marriage,0,2,8,1,0,0,0
5009673,0,59.379727167566756,1,0.0,Other,Pensioner,90000.0,Secondary / secondary special,House / apartment,0,0,Widow,0,1,30,0,1,0,0
5009689,0,63.790495355825236,1,0.0,Other,Pensioner,153000.0,Secondary / secondary special,House / apartment,0,0,Separated,0,1,43,0,1,0,0
5009694,1,35.59005318384361,0,4.271134930902072,Managers,Commercial associate,1350000.0,Higher education,Municipal apartment,1,0,Married,0,2,45,0,1,1,1
5009701,0,57.12095388680123,1,0.0,Other,Pensioner,139500.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,3,0,0,0,0
5009706,0,31.880189189374182,0,0.9418400104040466,Managers,Working,157500.0,Higher education,House / apartment,0,0,Married,0,2,4,0,0,0,0
5009711,0,30.396243591586412,0,1.1855137340260238,Sales staff,Working,135000.0,Secondary / secondary special,With parents,1,0,Civil marriage,0,2,4,1,1,0,0
5009713,1,25.681567725552203,0,4.690034702971314,Other,Working,180000.0,Secondary / secondary special,House / apartment,0,0,Single / not married,0,1,38,1,1,0,1
5009719,0,52.885411746990016,0,12.186424088105847,Other,Working,225000.0,Secondary / secondary special,House / apartment,0,0,Single / not married,0,1,23,1,1,0,0
5009724,0,27.069686578095375,0,6.773581935289568,Sales staff,Working,135000.0,Higher education,House / apartment,0,0,Married,0,2,41,0,1,0,0
5009729,1,36.08013853809455,0,3.6058235282038646,Laborers,Working,292500.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,4,1,0,0,0
5009732,0,52.953859422164726,0,20.025051849113943,Managers,Commercial associate,270000.0,Higher education,House / apartment,1,0,Married,0,2,49,1,1,0,0
5009736,0,40.12950300143056,0,12.024887574693524,Core staff,Working,99000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,34,1,1,0,0
5009742,0,33.752917582154325,0,6.773581935289568,Sales staff,Working,135000.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,14,1,1,0,0
5009745,0,37.117805293743196,0,1.6044135060952653,Other,Commercial associate,315000.0,Higher education,House / apartment,1,0,Married,0,2,46,1,1,0,1
5009757,1,24.879360972504568,0,4.60515958575467,Laborers,Working,270000.0,Higher education,House / apartment,1,0,Single / not married,0,1,26,0,0,0,0
5009762,1,38.65377112466375,0,8.690116840181522,Laborers,Working,135000.0,Secondary / secondary special,House / apartment,0,0,Separated,0,1,16,0,0,0,0
5009783,1,40.811241846170695,0,18.688953229703554,Core staff,State servant,445500.0,Higher education,Municipal apartment,1,0,Married,2,4,28,1,0,0,0
5009785,0,60.23942996776115,1,0.0,Other,Pensioner,198000.0,Secondary / secondary special,House / apartment,0,0,Widow,0,1,6,0,1,0,0
5009799,0,42.25959465286761,0,10.855801282709432,Other,Working,382500.0,Higher education,House / apartment,1,0,Married,0,2,57,1,1,0,0
5009805,0,32.34289547355524,0,8.942004284824465,Sales staff,Working,202500.0,Secondary / secondary special,House / apartment,0,0,Married,1,3,9,1,1,0,0
5009819,0,40.748269985009955,0,14.940758537136286,Cooking staff,Working,99000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,8,0,1,0,0
5009826,0,43.146676523131894,0,1.0239772206137019,Sales staff,Working,112500.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,25,1,0,0,0
5009831,1,28.570059617925075,0,4.690034702971314,Core staff,Working,166500.0,Higher education,With parents,1,0,Married,0,2,19,1,0,0,0
5009837,0,35.92133993168922,0,15.272045284981896,Medicine staff,State servant,135000.0,Secondary / secondary special,House / apartment,0,0,Civil marriage,0,2,43,0,0,0,0
5009839,1,34.59619294030678,0,1.1088523378303456,Laborers,Working,202500.0,Secondary / secondary special,House / apartment,1,0,Civil marriage,0,2,33,0,0,0,0
5009843,0,49.096148449317916,0,4.024723300273106,Sales staff,Commercial associate,81000.0,Secondary / secondary special,House / apartment,0,0,Separated,0,1,38,0,0,0,1
5009844,1,43.53545931812426,0,0.355927910908506,Security staff,Working,180000.0,Secondary / secondary special,House / apartment,1,0,Married,0,2,13,1,0,0,0
5009846,1,33.62697385983285,0,1.1088523378303456,Managers,Commercial associate,225000.0,Higher education,House / apartment,0,0,Civil marriage,0,2,34,0,1,0,0
5009847,0,27.60905425847211,0,1.8563009507382082,Sales staff,Commercial associate,99000.0,Higher education,House / apartment,0,0,Married,0,2,31,0,0,0,0
5009850,1,28.134732403813903,0,1.5222762958856102,Drivers,Commercial associate,360000.0,Secondary / secondary special,With parents,1,0,Separated,0,1,37,1,1,0,0
5009864,1,39.850236486717726,0,3.35667399056791,Managers,Working,225000.0,Higher education,Rented apartment,1,0,Civil marriage,0,2,41,1,0,0,0
5009872,1,41.46286371383396,0,17.522604844726448,Managers,Commercial associate,427500.0,Higher education,House / apartment,1,0,Married,2,4,38,1,0,0,0
5009877,0,42.43482070131488,0,3.5236863179942093,Core staff,State servant,157500.0,Higher education,House / apartment,0,1,Married,2,4,7,1,1,0,0
5009879,0,26.938267041759925,0,5.024059357823911,Laborers,Working,144000.0,Secondary / secondary special,Municipal apartment,0,1,Married,2,4,3,1,0,0,0
5009880,0,59.234618096196364,1,0.0,Other,Pensioner,157500.0,Secondary / secondary special,House / apartment,0,1,Civil marriage,0,2,14,0,1,0,0
