,Gender,Age,UnemployedStatus,YearsOfEmployed,OccupationType,IncomeType,TotalIncome,EducationLevel,HousingType,OwnCar,OwnProperty,FamilyStatus,NumOfChildren,NumOfFamilyMember,AccountActivateLength,WorkPhone,Phone,Email
5097,1,51.51919615050275,0,8.033019158504281,8,4,225000.0,4,1,0,1,1,0,2,49,1,0,0
1372,0,48.781289143514236,0,12.033101295714491,8,4,202500.0,4,1,0,1,2,1,2,17,0,0,0
5452,0,60.16824438557944,1,0.0,12,1,126000.0,4,1,0,1,1,0,2,10,0,1,0
7248,0,36.52641738023368,0,11.595036174596329,0,0,112500.0,4,1,1,1,1,1,3,25,0,0,0
916,0,30.062218936733814,0,7.920764971217753,3,0,135000.0,4,1,0,0,1,3,5,7,0,0,0
874,1,37.67633832316885,0,7.619595200449017,8,4,144000.0,4,1,0,1,1,1,3,4,0,0,0
986,0,29.96091637747524,0,6.423129838395039,13,4,157500.0,4,1,1,0,1,0,2,1,0,0,0
9423,1,26.960170297815836,0,1.3744293175082307,3,4,450000.0,1,1,1,0,1,1,3,31,0,1,1
2992,0,33.071178737414186,0,4.295776093964968,10,4,292500.0,1,1,0,1,1,2,4,16,0,0,0
1580,0,36.54010691526862,0,1.601675599088277,8,0,135000.0,4,1,0,1,0,2,4,40,0,1,1
3630,1,43.73258862262743,0,9.829086155088742,12,4,162000.0,4,1,1,0,2,0,1,6,1,1,0
9673,1,41.35334743355442,0,4.651704004873475,8,4,135000.0,4,5,0,0,0,0,2,43,0,0,0
3053,0,29.216205671574365,0,3.466190270847451,13,4,157500.0,4,1,1,1,3,1,2,4,0,0,0
5136,0,65.86856677412952,1,0.0,12,1,56250.0,4,1,0,1,1,0,2,50,0,1,0
7707,1,36.641409474527194,0,1.3388365264173803,4,0,450000.0,4,1,1,1,1,2,4,13,0,1,0
6793,0,42.92216814855883,0,4.763958192160003,12,4,135000.0,4,1,0,1,1,1,3,33,0,0,0
9460,0,29.944488935433306,0,0.4599683771740693,10,0,315000.0,1,1,0,1,1,2,4,13,0,1,0
6182,1,25.28183330253188,0,3.2663230593372896,3,4,157500.0,1,1,0,0,3,0,1,27,0,0,0
3859,0,67.38262934899416,1,0.0,12,1,99000.0,1,1,0,1,2,0,1,55,0,0,0
2053,0,38.59901298452398,0,15.258355749946952,8,0,292500.0,4,1,0,1,1,0,2,17,0,0,0
2367,1,53.79165896630321,0,11.518374778400652,12,4,135000.0,4,1,1,1,1,0,2,19,0,0,0
21,1,28.257938219128388,0,7.688042875623729,12,4,225000.0,4,1,0,1,1,1,3,45,0,0,0
4537,0,46.078974927616585,0,9.46768243016626,12,0,144000.0,1,1,1,0,1,0,2,51,0,0,0
2729,0,37.03019226951957,0,12.260347577294537,3,4,135000.0,1,1,1,0,1,3,5,39,1,1,0
8189,0,24.882098879511556,0,5.952209833193016,12,0,103500.0,1,5,0,1,0,0,2,43,0,0,0
6450,0,27.90474821522687,0,3.7536705065812437,15,4,99000.0,1,1,0,1,1,0,2,36,1,1,0
4217,1,35.579101555815654,0,4.131501673545658,10,0,207000.0,4,1,0,1,1,2,4,13,0,0,0
6068,1,39.5709699720049,0,2.2423458387235877,8,4,135000.0,4,1,1,0,1,1,3,3,0,0,0
8953,1,34.84534247794274,0,6.784533563317522,17,0,315000.0,4,1,0,1,3,0,1,6,0,0,0
6273,0,50.26523474130201,0,32.26623407735956,11,0,112500.0,4,1,0,0,1,0,2,50,0,0,0
3701,0,50.71425149044813,1,0.0,12,1,157500.0,4,1,0,0,1,0,2,14,0,0,0
1175,0,23.365298397639922,0,4.673607260929383,8,0,135000.0,2,2,0,0,3,0,1,15,0,0,1
589,0,48.06669541469024,0,5.259519360424923,15,4,202500.0,4,1,1,1,1,0,2,20,0,1,0
9191,0,41.98032813815479,0,3.0281251497292896,8,4,202500.0,4,1,0,1,2,0,1,6,0,0,0
9573,0,42.004969301217685,0,15.847005756449482,9,4,81000.0,4,1,0,1,1,0,2,59,0,0,0
7994,0,59.185335770070566,1,0.0,12,1,67500.0,4,1,0,0,4,0,1,18,0,0,0
3782,1,50.109174041903664,0,5.81531448284359,10,0,202500.0,1,1,1,1,1,2,4,43,0,0,0
5514,0,36.90698645420508,0,14.51090713703909,11,4,225000.0,4,1,0,1,0,0,2,52,1,1,0
1564,0,34.117059214083795,0,4.941922147614256,15,0,180000.0,4,1,0,0,1,0,2,50,1,0,0
8617,1,63.28124465252537,1,0.0,12,1,220500.0,4,1,1,1,1,0,2,43,0,0,0
7105,1,52.554124999144406,0,29.273701718721124,10,4,247500.0,1,1,1,1,1,0,2,49,0,0,1
5910,0,42.81812768229327,0,1.04588047666961,0,0,135000.0,4,1,0,1,3,0,1,19,0,0,0
6426,0,31.225829414703927,0,7.176054265316878,3,4,90000.0,1,1,0,1,3,0,1,2,0,0,0
285,1,54.7225473486793,1,0.0,12,1,112500.0,4,1,1,1,1,0,2,36,0,0,0
5745,1,38.922086011348625,0,5.2649951744389005,15,4,405000.0,4,1,0,0,3,0,1,21,0,0,1
5987,1,59.995756244139166,1,0.0,12,1,90000.0,4,1,1,1,1,0,2,55,0,0,0
8978,0,55.64795991704142,0,11.534802220442582,17,4,114750.0,4,1,0,1,4,0,1,38,1,1,0
4306,0,41.758557670588715,0,2.428523515198806,3,4,67500.0,4,1,0,1,1,1,3,22,1,0,0
876,1,33.09308199347009,0,9.533392198333983,17,4,49500.0,4,1,0,1,3,0,1,16,1,1,0
3199,1,36.79747017392554,0,18.176964619396703,3,4,112500.0,4,1,1,1,1,0,2,50,0,0,0
7746,1,36.76187738283469,0,1.2539614092007365,8,4,270000.0,4,1,1,1,1,3,5,27,1,0,0
3255,0,60.543337645536866,1,0.0,12,1,247500.0,4,1,0,0,1,0,2,52,0,1,0
3385,1,42.49231674846164,0,7.293784266617384,17,4,135000.0,4,3,0,0,1,1,3,20,0,0,0
9690,1,49.33708426593291,0,4.366961676146669,2,0,270000.0,4,2,0,1,3,0,1,5,0,0,0
718,1,30.880853131823375,0,1.3908567595501617,8,4,112500.0,4,1,1,1,1,1,3,15,0,0,0
4093,0,52.526745929074515,0,5.204761220285153,0,4,157500.0,4,1,0,1,1,0,2,17,0,1,0
9011,1,31.915781980465034,0,1.7878532755634955,8,4,207000.0,4,1,1,0,0,0,2,3,1,0,0
4455,0,31.157381739529217,0,4.216376790762301,8,0,247500.0,4,1,0,1,0,1,3,11,0,0,1
1706,0,53.06611360945126,0,9.177464287425478,12,2,157500.0,4,1,0,1,1,0,2,15,0,0,0
2799,0,65.83844979705265,1,0.0,12,1,157500.0,4,1,0,1,1,0,2,49,0,0,0
3439,1,56.29684387769769,0,5.963161461220969,4,4,337500.0,4,1,0,1,1,0,2,16,0,0,0
9594,0,60.60083369268363,1,0.0,12,1,180000.0,4,1,0,0,1,0,2,19,0,0,0
94,1,30.2319691711671,0,8.690116840181522,3,2,279000.0,1,1,0,0,3,0,1,21,0,0,0
6404,1,49.627302408673685,0,2.595535842625105,10,0,675000.0,1,1,1,0,1,0,2,16,0,1,0
8002,0,62.813062554330344,1,0.0,12,1,135000.0,4,1,0,0,2,0,1,25,0,0,0
987,0,23.326967699542084,0,1.5058488538436792,11,2,76500.0,4,5,0,0,3,0,1,3,1,0,0
8489,1,33.670780371944666,0,3.2854884083862093,4,4,184500.0,4,1,1,1,1,0,2,34,0,0,0
7399,1,41.952949068084905,0,22.69724908793473,8,4,202500.0,4,1,0,0,3,0,1,10,1,0,0
3955,0,44.77573119229005,1,0.0,12,1,153000.0,4,1,0,0,4,0,1,32,0,0,0
5344,1,58.821194138141095,0,4.679083074943359,8,0,211500.0,4,1,1,1,1,0,2,11,0,0,0
1322,0,64.98148490386524,0,16.610881811399274,10,0,180000.0,4,1,0,0,1,0,2,24,0,0,0
9177,0,65.37300560586459,1,0.0,12,1,81000.0,4,1,0,0,1,0,2,34,0,0,0
6397,0,60.0587281052999,0,7.427941709959821,12,4,90000.0,4,1,0,1,1,0,2,24,1,1,0
9347,0,45.90101097216233,0,4.123287952524692,15,4,139500.0,4,1,1,1,1,1,3,45,0,0,0
9641,0,67.1088386482953,1,0.0,12,1,247500.0,4,1,0,0,4,0,1,42,0,0,0
1762,1,42.15007837258808,0,4.219114697769291,4,4,202500.0,4,1,1,0,1,0,2,16,0,1,0
9387,0,36.405949471926185,0,0.4599683771740693,3,2,540000.0,2,1,1,1,1,1,3,45,0,0,0
2842,1,45.50675236315598,0,0.6050774485444602,12,4,144000.0,4,1,0,0,0,0,2,26,0,0,0
9051,1,22.65344257582291,0,2.0315269991854725,8,4,202500.0,4,1,0,0,2,1,2,28,1,1,0
3799,0,45.90101097216233,0,15.816888779372608,8,2,225000.0,4,1,1,1,3,0,1,50,0,0,0
3368,0,51.12219963448941,0,4.120550045517704,10,0,202500.0,1,1,0,0,1,0,2,8,0,1,0
4633,0,33.84053060637795,0,1.0540941976905753,8,4,135000.0,4,1,0,1,3,0,1,30,0,0,1
5886,0,27.81439728399625,0,3.2964400364141633,0,0,225000.0,2,5,0,1,1,0,2,39,0,0,0
8462,1,60.05599019829291,0,11.203515472596973,12,4,450000.0,4,1,1,1,1,0,2,22,1,0,0
3110,1,58.489907390295485,1,0.0,12,1,135000.0,4,1,1,1,1,0,2,28,0,0,0
9383,1,32.72072664051965,0,3.9617514391123705,10,4,270000.0,1,1,0,1,1,2,4,18,0,0,1
4190,0,34.467511310978324,0,11.214467100624928,8,4,135000.0,4,1,0,1,1,2,4,4,0,1,0
2487,1,38.98779577951635,0,6.683231004058947,6,4,360000.0,1,1,0,1,3,0,1,12,1,0,0
7181,0,36.01990458394081,0,3.263585152330301,2,4,67500.0,4,1,0,1,3,1,2,12,0,0,0
4237,1,45.07690096305879,0,2.4832816553385766,4,4,180000.0,4,1,0,1,2,1,2,23,0,0,0
5492,0,65.02529141597705,1,0.0,12,1,76500.0,1,1,0,1,1,0,2,58,0,0,0
2457,0,65.13206978924961,1,0.0,12,1,180000.0,1,1,0,1,2,0,1,33,0,0,0
4647,0,41.76950929861667,0,23.72122630854843,10,4,225000.0,4,1,0,1,1,1,3,53,0,0,0
2105,0,58.585734135540086,1,0.0,12,1,112500.0,4,1,0,1,2,0,1,19,0,0,0
1427,0,33.96647432869943,0,0.7255453568519545,4,4,135000.0,4,1,1,1,1,2,4,31,0,0,1
3609,1,49.31791891688399,0,3.3265570134910365,8,4,184500.0,4,2,1,0,1,0,2,3,0,0,0
816,1,39.32729624838292,0,17.391185308391,8,4,202500.0,4,1,0,0,2,0,1,49,0,0,0
2144,0,37.47099529764471,0,3.4388112007775655,2,4,112500.0,4,1,1,1,0,0,2,2,0,0,0
3159,1,38.327960190832115,0,4.178046092664463,4,4,292500.0,4,1,1,0,3,0,1,18,0,1,0
8923,0,60.743204857047026,1,0.0,12,1,97650.0,1,2,0,0,2,0,1,5,0,1,0
7128,0,37.70097948623175,0,17.44594344853077,12,4,360000.0,1,1,0,1,1,0,2,5,0,0,0
819,0,55.64248410302744,0,4.728365401069152,1,4,135000.0,4,1,0,1,1,0,2,2,0,0,0
755,1,35.58457736982963,0,14.973613421220149,12,4,225000.0,4,4,1,1,1,2,4,50,0,0,0
1496,1,40.915282312436254,0,5.640088434396326,10,4,202500.0,1,1,0,1,1,0,2,29,0,0,0
8988,0,39.95975276699727,0,5.867334715976372,12,2,76500.0,1,1,0,1,1,2,4,15,0,0,0
9485,1,28.32912380131009,0,6.625734956912188,3,0,157500.0,1,4,0,1,1,0,2,7,0,0,0
7884,1,48.1707358809558,0,1.3443123404313573,4,0,270000.0,4,1,0,1,1,0,2,5,0,0,0
2071,0,27.836300540052157,0,2.269724908793473,15,0,69750.0,4,2,0,0,1,1,3,46,1,1,0
8701,0,63.32778907164418,1,0.0,12,1,90000.0,4,1,0,0,3,0,1,3,0,1,0
429,1,40.9043306844083,0,4.501119119489107,8,4,112500.0,4,1,0,1,0,0,2,11,0,0,0
3160,1,45.367119105799574,0,7.682567061609753,10,0,270000.0,2,1,1,1,1,1,3,30,0,0,0
7912,1,44.6689528190175,0,1.6810749022909437,12,4,135000.0,4,1,1,1,1,0,2,51,0,1,0
7139,0,48.053005879655295,0,3.2745367803582552,8,0,126000.0,4,1,0,1,1,0,2,51,0,0,0
5598,0,56.97310690842385,1,0.0,12,1,112500.0,4,1,0,1,1,0,2,12,0,0,0
2084,0,46.922250285769046,0,22.100385360411234,3,2,103500.0,1,1,1,1,2,0,1,22,1,1,0
7845,1,31.99244337666071,0,1.3443123404313573,8,4,157500.0,4,1,1,0,1,0,2,31,1,0,0
1537,0,26.612456107928292,0,1.3881188525431734,12,4,67500.0,4,1,0,1,1,1,3,23,0,0,1
6753,0,58.31468134184822,1,0.0,12,1,90000.0,4,1,0,1,2,0,1,3,0,0,0
6625,1,63.85894303099995,0,14.343894809612792,6,0,234000.0,1,1,1,1,0,0,2,17,1,1,0
6712,0,37.052095525575474,0,2.2615111877725074,12,4,112500.0,4,1,0,1,1,2,4,18,1,1,0
593,0,52.13522522707516,0,9.087113356194857,12,4,90000.0,4,1,0,1,2,0,1,28,0,0,0
1850,0,47.62589238656509,0,4.153404929601566,3,4,157500.0,4,1,0,0,0,0,2,37,0,0,0
773,1,33.66530455793069,0,11.81133082814842,12,4,135000.0,4,1,1,1,1,2,4,56,0,0,0
3692,0,44.04471002142412,0,7.1623647302819355,10,2,135000.0,2,2,0,0,1,0,2,9,1,0,0
9493,0,46.63477005003525,0,5.045962613879819,11,2,157500.0,4,1,0,1,1,0,2,3,0,1,0
7584,0,39.91320834787847,0,20.112664873337575,8,0,135000.0,4,1,0,1,3,1,2,42,0,0,0
670,0,33.86517176944085,0,0.5119886103068509,3,4,112500.0,4,1,0,0,2,0,1,46,0,0,0
8028,0,26.771254714333626,0,2.346386304989151,12,4,144000.0,1,1,1,0,0,0,2,47,1,1,0
2335,1,54.83753944297282,0,27.932127285296755,12,4,135000.0,4,1,1,0,1,0,2,45,0,0,0
6126,1,28.62207985105786,0,4.0959088824548076,10,4,450000.0,1,1,1,1,1,1,3,43,0,1,0
5215,1,48.403457976549824,0,7.096654962114211,15,4,112500.0,4,1,1,0,1,0,2,38,1,0,0
7269,1,38.79888019603414,0,2.012361650136553,4,0,337500.0,4,1,1,1,1,2,4,12,0,1,0
5793,1,44.57860188778688,0,3.263585152330301,8,4,157500.0,4,1,1,1,1,1,3,2,0,1,0
7118,1,23.009370486731417,0,2.5270881674503927,8,0,270000.0,4,1,1,1,0,0,2,4,0,1,1
1815,1,47.656009363641964,0,12.556041534049296,12,4,90000.0,4,1,1,1,1,0,2,21,0,0,0
245,0,37.68455204418982,0,10.940676399926076,3,0,135000.0,1,1,0,1,1,0,2,12,0,0,1
5275,1,40.23901928171009,0,6.762630307261614,17,0,157500.0,4,2,0,0,0,0,2,13,1,0,0
9373,0,25.468010979007097,0,2.291628164849381,12,0,139500.0,4,1,0,1,3,0,1,4,0,0,0
7196,1,37.698241579224764,0,10.195965694025203,10,0,337500.0,1,1,1,0,3,2,3,59,0,0,1
7925,1,38.555206472412166,0,4.928232612579314,10,4,180000.0,1,1,1,1,1,1,3,19,0,0,0
3915,1,52.10784615700528,0,1.128017686879265,8,4,225000.0,4,1,1,1,1,0,2,56,1,0,0
5205,1,36.01716667693382,0,8.013853809455362,10,0,135000.0,1,1,0,0,1,0,2,22,1,0,0
3954,1,64.12999582469182,1,0.0,12,1,72900.0,3,1,0,1,1,0,2,49,0,0,0
4427,1,25.049111206937855,0,3.3320328275050137,8,0,225000.0,4,1,0,1,3,0,1,29,0,0,1
7033,0,36.87139366311423,0,1.0759974537464836,3,4,135000.0,1,1,1,1,1,1,3,9,0,0,0
7958,1,52.15165266911709,0,10.765450351478812,4,0,135000.0,4,1,1,0,1,0,2,30,1,0,0
2115,0,29.52285125635708,0,2.768023984065381,15,4,153000.0,1,1,0,1,1,2,4,22,1,1,0
7923,0,46.00778934543488,0,5.262257267431911,8,0,202500.0,1,1,1,0,1,0,2,46,0,0,0
1792,1,55.193467353881324,0,3.5565412020780713,6,4,135000.0,1,1,1,0,1,0,2,55,0,0,0
3502,0,65.23884816252216,1,0.0,12,1,90000.0,2,1,0,1,0,0,2,21,0,0,0
6997,1,39.36562694648076,0,3.3265570134910365,8,4,112500.0,4,4,0,0,1,2,4,34,1,0,0
1712,1,29.44892776716839,0,5.968637275234946,10,0,202500.0,4,1,1,0,1,0,2,47,0,1,0
4527,0,32.48526663791864,0,10.664147792220238,3,4,90000.0,1,1,1,0,1,1,3,25,0,1,0
6672,0,34.831652942907795,0,14.595782254255735,1,4,90000.0,1,5,0,1,1,1,3,37,0,0,0
7900,0,30.686461734327192,0,1.262175130221702,3,2,270000.0,1,1,1,0,1,1,3,53,0,0,0
6311,0,54.790995023854016,0,1.5989376920812883,3,4,135000.0,4,0,0,0,4,0,1,47,0,0,0
3458,1,41.309540921442604,0,7.553885432281293,8,4,225000.0,4,1,1,1,1,0,2,34,0,0,0
3525,0,65.1129044402007,1,0.0,12,1,135000.0,1,1,0,1,1,0,2,36,0,1,0
4094,1,22.869737229375005,0,2.9596774745545766,3,0,202500.0,4,1,0,1,1,0,2,18,1,0,1
885,0,33.29294920498025,0,1.2539614092007365,12,4,85500.0,1,1,0,1,1,2,4,48,0,0,0
8927,1,22.330369548998267,0,0.8268479161105293,8,4,261000.0,1,5,1,1,3,0,1,13,0,0,0
5883,0,60.19288554864234,1,0.0,12,1,112500.0,4,1,0,0,2,0,1,34,0,0,0
1848,1,27.118968904221166,0,9.15282312436258,8,0,180000.0,4,1,1,1,1,1,3,38,0,1,0
3311,1,62.331190921100365,0,0.6215048905863912,17,0,90000.0,4,1,1,0,1,0,2,14,0,0,0
2290,0,32.132076634017125,0,0.5996016345304832,0,4,157500.0,4,1,1,1,0,0,2,7,0,0,0
3191,1,27.41192495396894,0,2.2615111877725074,6,2,247500.0,1,1,1,1,3,0,1,37,1,1,0
332,0,61.02794718577383,1,0.0,12,1,162000.0,4,1,0,1,1,0,2,42,0,0,0
2484,0,40.96456463856205,0,9.180202194432466,15,0,112500.0,4,1,0,1,1,1,3,40,1,1,0
6591,0,60.8691485793685,1,0.0,12,1,157500.0,1,1,0,1,1,0,2,9,0,0,0
104,1,40.61685044867451,0,3.2717988733512664,4,2,360000.0,1,2,1,0,1,0,2,13,1,1,0
3369,1,33.5667399056791,0,2.453164678261703,3,4,135000.0,4,1,1,0,3,0,1,26,0,0,0
3287,1,23.37351211866089,0,1.7823774615495185,8,4,135000.0,4,1,0,0,0,0,2,20,1,0,0
7519,0,34.612620382348716,0,9.029617309048097,6,0,202500.0,4,1,1,1,1,2,4,30,0,0,0
5327,0,50.85662265481153,0,11.261011519743732,0,4,112500.0,4,1,0,1,1,0,2,14,0,0,0
7050,0,31.765197095080666,0,3.9836546951682785,10,4,315000.0,1,1,0,1,1,1,3,25,0,0,0
3910,1,54.78004339582606,0,15.291210634030815,17,4,112500.0,1,1,0,1,0,0,2,21,0,0,0
9466,0,35.00687899135506,0,0.6269807046003683,12,4,225000.0,1,1,1,1,1,1,3,48,0,0,0
1891,0,35.012354805369036,0,6.319089372129476,12,4,103500.0,1,1,0,1,1,0,2,33,0,0,0
1541,0,27.797969841954316,0,1.640006297186116,15,4,135000.0,2,1,0,1,2,1,2,13,0,0,0
1557,1,40.614112541667524,0,10.439639417647179,15,4,225000.0,4,1,1,0,1,0,2,56,0,1,0
1265,0,59.85338507977576,0,29.506423814315145,2,4,225000.0,1,1,0,1,4,0,1,13,0,0,0
1424,0,39.90225671985051,0,2.6393423547369212,11,2,180000.0,4,1,0,1,1,1,3,12,0,1,1
9276,1,31.59270895364039,0,1.122541872865288,12,0,202500.0,1,1,0,1,1,0,2,8,0,0,1
8457,0,37.104115758708254,0,6.620259142898211,15,4,112500.0,4,1,0,1,0,2,4,31,0,0,0
4335,0,54.80468455888896,0,4.681820981950348,15,0,112500.0,4,1,0,1,1,0,2,34,1,0,0
7932,0,33.17248129667276,0,1.5140625748646448,10,2,382500.0,1,5,0,1,3,1,2,15,0,0,0
5026,0,47.76004982990753,0,3.0445525917712204,8,4,90000.0,4,1,0,1,1,0,2,51,1,0,0
1387,0,49.39731822008665,0,4.388864932202577,8,0,225000.0,1,1,0,1,3,0,1,14,0,1,1
1218,0,55.23453595898615,1,0.0,12,1,67500.0,4,1,0,1,1,0,2,49,0,0,0
1842,1,45.5752000383307,0,17.38570949437702,4,4,135000.0,4,1,1,1,1,1,3,8,0,0,0
7003,1,40.32389439892674,0,0.8295858231175178,8,4,184500.0,4,1,0,0,1,0,2,24,1,0,0
5237,0,51.59038173268445,0,9.511488942278076,6,4,157500.0,1,1,0,0,2,0,1,41,1,1,0
3474,1,32.42229477675791,0,0.6351944256213338,2,4,270000.0,4,1,0,1,1,1,3,51,0,0,0
1754,1,48.12692936884399,0,5.46760029295605,8,0,202500.0,4,1,0,1,1,0,2,46,0,0,0
7075,0,54.281744320554154,0,7.90707543618281,6,4,148500.0,4,1,0,1,3,0,1,41,0,0,1
5278,0,48.233707742116536,0,8.931052656796512,13,0,315000.0,4,1,0,0,2,0,1,9,1,1,1
7173,1,50.090008692854745,1,0.0,12,1,157500.0,4,1,1,1,1,0,2,31,0,1,0
7823,1,27.587151002416203,0,0.6790009377331498,12,4,189000.0,2,1,0,1,3,0,1,27,0,0,0
7822,0,28.093663798709077,0,8.430015674517614,12,4,202500.0,1,1,0,1,1,0,2,30,1,1,1
6880,0,28.036167751562317,0,2.2396079317165993,3,4,112500.0,4,5,0,0,4,0,1,7,1,1,0
8345,1,51.116723820475436,0,14.869572954954585,10,4,360000.0,1,1,1,1,1,0,2,14,1,1,0
32,0,39.56275625098394,0,7.603167758407086,8,0,225000.0,4,1,1,1,1,0,2,17,0,0,0
1291,0,65.64953421357043,1,0.0,12,1,112500.0,4,1,0,1,1,0,2,12,0,0,0
384,0,55.574036427852725,1,0.0,12,1,315000.0,4,2,0,1,1,0,2,26,0,0,0
